type,lib,jour,nb,code,Code,flag_url
departement,Finistère,2020-03-26,150,NA,NA,NA
departement,Finistère,2020-03-27,156,NA,NA,NA
departement,Finistère,2020-03-28,178,NA,NA,NA
departement,Finistère,2020-03-29,188,NA,NA,NA
departement,Finistère,2020-03-30,202,NA,NA,NA
departement,Finistère,2020-03-31,210,NA,NA,NA
departement,Gard,2020-03-19,26,NA,NA,NA
departement,Gard,2020-03-18,28,NA,NA,NA
departement,Gard,2020-03-20,34,NA,NA,NA
departement,Gard,2020-03-21,40,NA,NA,NA
departement,Gard,2020-03-22,52,NA,NA,NA
departement,Gard,2020-03-23,66,NA,NA,NA
departement,Gard,2020-03-24,80,NA,NA,NA
departement,Gard,2020-03-25,98,NA,NA,NA
departement,Gard,2020-03-26,100,NA,NA,NA
departement,Gard,2020-03-27,122,NA,NA,NA
departement,Gard,2020-03-28,150,NA,NA,NA
departement,Gard,2020-03-29,160,NA,NA,NA
departement,Gard,2020-03-30,178,NA,NA,NA
departement,Gard,2020-03-31,218,NA,NA,NA
departement,Gers,2020-03-18,4,NA,NA,NA
departement,Gers,2020-03-19,12,NA,NA,NA
departement,Gers,2020-03-20,12,NA,NA,NA
departement,Gers,2020-03-21,14,NA,NA,NA
departement,Gers,2020-03-22,14,NA,NA,NA
departement,Gers,2020-03-23,16,NA,NA,NA
departement,Gers,2020-03-24,22,NA,NA,NA
departement,Gers,2020-03-25,28,NA,NA,NA
departement,Gers,2020-03-26,28,NA,NA,NA
departement,Gers,2020-03-27,40,NA,NA,NA
departement,Gers,2020-03-28,42,NA,NA,NA
departement,Gers,2020-03-29,50,NA,NA,NA
departement,Gers,2020-03-30,50,NA,NA,NA
departement,Gers,2020-03-31,56,NA,NA,NA
departement,Gironde,2020-03-18,30,NA,NA,NA
departement,Gironde,2020-03-19,42,NA,NA,NA
departement,Gironde,2020-03-20,58,NA,NA,NA
departement,Gironde,2020-03-21,136,NA,NA,NA
departement,Gironde,2020-03-22,184,NA,NA,NA
departement,Gironde,2020-03-23,228,NA,NA,NA
departement,Gironde,2020-03-24,340,NA,NA,NA
departement,Gironde,2020-03-25,490,NA,NA,NA
departement,Gironde,2020-03-26,588,NA,NA,NA
departement,Gironde,2020-03-27,722,NA,NA,NA
departement,Gironde,2020-03-28,774,NA,NA,NA
departement,Gironde,2020-03-29,856,NA,NA,NA
departement,Gironde,2020-03-30,1069,NA,NA,NA
departement,Gironde,2020-03-31,1199,NA,NA,NA
departement,Haut-Rhin,2020-03-18,1269,NA,NA,NA
departement,Haut-Rhin,2020-03-19,1457,NA,NA,NA
departement,Haut-Rhin,2020-03-20,1737,NA,NA,NA
departement,Haut-Rhin,2020-03-21,1847,NA,NA,NA
departement,Haut-Rhin,2020-03-22,1960,NA,NA,NA
departement,Haut-Rhin,2020-03-23,2230,NA,NA,NA
departement,Haut-Rhin,2020-03-24,2531,NA,NA,NA
departement,Haut-Rhin,2020-03-25,2932,NA,NA,NA
departement,Haut-Rhin,2020-03-26,3260,NA,NA,NA
departement,Haut-Rhin,2020-03-27,3561,NA,NA,NA
departement,Haut-Rhin,2020-03-28,3768,NA,NA,NA
departement,Haut-Rhin,2020-03-29,3975,NA,NA,NA
departement,Haut-Rhin,2020-03-30,4206,NA,NA,NA
departement,Haut-Rhin,2020-03-31,4501,NA,NA,NA
departement,Haute-Corse,2020-03-18,0,NA,NA,NA
departement,Haute-Corse,2020-03-19,0,NA,NA,NA
departement,Haute-Corse,2020-03-20,58,NA,NA,NA
departement,Haute-Corse,2020-03-21,58,NA,NA,NA
departement,Haute-Corse,2020-03-22,58,NA,NA,NA
departement,Haute-Corse,2020-03-23,74,NA,NA,NA
departement,Haute-Corse,2020-03-24,80,NA,NA,NA
departement,Haute-Corse,2020-03-25,82,NA,NA,NA
departement,Haute-Corse,2020-03-26,100,NA,NA,NA
departement,Haute-Corse,2020-03-27,112,NA,NA,NA
